week_end,entry,short_k,wing_k,width,credit,settle,pnl,vix,gap_below_trigger,entry_d,px,stopped
2012-06-08,2012-06-04,1235.0,1210.0,25.0,1.4,1325.6600341796875,137.36,26.350000381469727,False,2012-06-04,137.36,False
2012-06-22,2012-06-18,1300.0,1275.0,25.0,1.4,1335.02001953125,137.36,21.76000022888184,False,2012-06-18,137.36,False
2012-07-06,2012-07-02,1320.0,1295.0,25.0,0.3,1354.6800537109375,27.360000000000003,17.6200008392334,False,2012-07-02,27.360000000000003,False
2012-07-13,2012-07-09,1315.0,1285.0,30.0,1.2,1356.780029296875,117.36,18.170000076293945,False,2012-07-09,117.36,False
2012-07-27,2012-07-23,1320.0,1295.0,25.0,3.2,1385.969970703125,317.36,20.40999984741211,False,2012-07-23,317.36,False
2012-08-03,2012-07-30,1345.0,1320.0,25.0,0.9000000000000001,1390.989990234375,87.36000000000001,17.549999237060547,False,2012-07-30,87.36000000000001,False
2012-08-10,2012-08-06,1350.0,1325.0,25.0,0.2,1405.8699951171875,17.36,15.850000381469728,False,2012-08-06,17.36,False
2012-08-24,2012-08-20,1380.0,1355.0,25.0,0.2999999999999999,1411.1300048828125,27.359999999999992,14.109999656677246,False,2012-08-20,27.359999999999992,False
2012-08-31,2012-08-27,1375.0,1350.0,25.0,0.4999999999999999,1406.5799560546875,47.35999999999999,16.149999618530273,False,2012-08-27,47.35999999999999,False
2012-09-07,2012-09-04,1370.0,1345.0,25.0,0.5499999999999999,1437.9200439453125,52.35999999999999,18.64999961853028,False,2012-09-04,52.35999999999999,False
2012-09-14,2012-09-10,1400.0,1380.0,20.0,0.6,1465.77001953125,57.36,14.270000457763672,False,2012-09-10,57.36,False
2012-10-12,2012-10-08,1425.0,1405.0,20.0,0.6000000000000001,1428.5899658203125,57.36000000000001,15.1899995803833,False,2012-10-08,57.36000000000001,False
2012-10-26,2012-10-22,1395.0,1375.0,20.0,0.8999999999999999,1411.93994140625,87.35999999999999,17.440000534057617,False,2012-10-22,87.35999999999999,False
2012-11-02,2012-10-31,1375.0,1355.0,20.0,0.25,1414.199951171875,22.36,17.68000030517578,False,2012-10-31,22.36,False
2012-11-09,2012-11-05,1380.0,1360.0,20.0,1.6999999999999995,1379.8499755859375,152.35755859375,18.32999992370605,False,2012-11-05,-385.28000000000003,True
2012-11-23,2012-11-19,1320.0,1300.0,20.0,0.0499999999999999,1409.1500244140625,2.359999999999999,15.880000114440918,False,2012-11-19,2.359999999999999,False
2012-11-30,2012-11-26,1370.0,1345.0,25.0,0.95,1416.1800537109375,92.36,15.630000114440918,False,2012-11-26,92.36,False
2012-12-07,2012-12-03,1380.0,1355.0,25.0,0.7499999999999999,1418.0699462890625,72.35999999999999,15.8100004196167,False,2012-12-03,72.35999999999999,False
2012-12-14,2012-12-10,1380.0,1360.0,20.0,0.7000000000000001,1413.5799560546875,67.36,16.469999313354492,False,2012-12-10,67.36,False
2012-12-28,2012-12-24,1395.0,1370.0,25.0,1.5,1402.4300537109375,147.36,18.459999084472656,False,2012-12-24,147.36,False
2013-01-04,2012-12-31,1365.0,1345.0,20.0,2.05,1466.469970703125,202.36,22.13999938964844,False,2012-12-31,202.36,False
2013-01-11,2013-01-07,1430.0,1405.0,25.0,0.7,1472.050048828125,67.36,14.529999732971191,False,2013-01-07,67.36,False
2013-01-25,2013-01-22,1450.0,1430.0,20.0,0.2,1502.9599609375,17.36,13.279999732971191,False,2013-01-22,17.36,False
2013-02-01,2013-01-28,1470.0,1445.0,25.0,0.2,1513.1700439453125,17.360000000000007,13.289999961853027,False,2013-01-28,17.360000000000007,False
2013-02-08,2013-02-04,1480.0,1460.0,20.0,0.5,1517.9300537109375,47.36,14.0,False,2013-02-04,47.36,False
2013-02-22,2013-02-19,1490.0,1470.0,20.0,0.0999999999999999,1515.5999755859375,7.359999999999998,12.8100004196167,False,2013-02-19,7.359999999999998,False
2013-03-01,2013-02-25,1485.0,1465.0,20.0,0.5999999999999999,1518.199951171875,57.35999999999999,13.6899995803833,False,2013-02-25,57.35999999999999,False
2013-03-08,2013-03-04,1485.0,1465.0,20.0,1.0499999999999998,1551.1800537109375,102.36,16.15999984741211,False,2013-03-04,102.36,False
2013-03-22,2013-03-18,1530.0,1510.0,20.0,1.4500000000000002,1556.8900146484375,142.36000000000004,13.470000267028809,False,2013-03-18,142.36000000000004,False
2013-04-05,2013-04-01,1540.0,1520.0,20.0,0.6,1553.280029296875,57.36,13.460000038146973,False,2013-04-01,57.36,False
2013-04-12,2013-04-08,1525.0,1505.0,20.0,1.6,1588.8499755859375,157.36,14.039999961853027,False,2013-04-08,157.36,False
2013-04-26,2013-04-22,1520.0,1500.0,20.0,0.8500000000000001,1582.239990234375,82.36000000000001,15.079999923706056,False,2013-04-22,82.36000000000001,False
2013-05-03,2013-04-29,1550.0,1525.0,25.0,0.55,1614.4200439453125,52.36000000000001,13.720000267028809,False,2013-04-29,52.36000000000001,False
2013-05-10,2013-05-06,1580.0,1560.0,20.0,0.55,1633.699951171875,52.36000000000001,13.0600004196167,False,2013-05-06,52.36000000000001,False
2013-05-24,2013-05-20,1635.0,1610.0,25.0,1.2499999999999998,1649.5999755859375,122.35999999999996,13.279999732971191,False,2013-05-20,122.35999999999996,False
2013-05-31,2013-05-28,1615.0,1595.0,20.0,0.15,1630.739990234375,12.36,13.670000076293944,False,2013-05-28,12.36,False
2013-06-14,2013-06-10,1605.0,1585.0,20.0,0.95,1626.72998046875,92.36,15.15999984741211,False,2013-06-10,92.36,False
2013-07-05,2013-07-01,1565.0,1540.0,25.0,0.0499999999999999,1631.8900146484375,2.359999999999999,16.899999618530273,False,2013-07-01,2.359999999999999,False
2013-07-12,2013-07-08,1590.0,1565.0,25.0,0.45,1680.18994140625,42.36000000000001,14.65999984741211,False,2013-07-08,42.36000000000001,False
